WARNING | unexpected system image feature string, emulator might not function correctly, please try updating the emulator.
VERBOSE | autoconfig: -skin 1080x2340
VERBOSE | autoconfig: -skindir (null)
VERBOSE | autoconfig: -kernel E:\Development\Android\Sdk\system-images\android-32\google_apis\x86_64\\kernel-ranchu
VERBOSE | Target arch = 'x86_64'
VERBOSE | Auto-detect: Kernel image requires new device naming scheme.
VERBOSE | Auto-detect: Kernel does not support YAFFS2 partitions.
VERBOSE | autoconfig: -ramdisk E:\Development\Android\Sdk\system-images\android-32\google_apis\x86_64\\ramdisk.img
VERBOSE | Using initial system image: E:\Development\Android\Sdk\system-images\android-32\google_apis\x86_64\\system.img
VERBOSE | Using initial vendor image: E:\Development\Android\Sdk\system-images\android-32\google_apis\x86_64\\vendor.img
VERBOSE | autoconfig: -data C:\Users\marcio\.android\avd\Pixel_5_API_32_1.avd\userdata-qemu.img
VERBOSE | autoconfig: -initdata C:\Users\marcio\.android\avd\Pixel_5_API_32_1.avd\userdata.img
VERBOSE | autoconfig: -cache C:\Users\marcio\.android\avd\Pixel_5_API_32_1.avd\cache.img
VERBOSE | autoconfig: -sdcard C:\Users\marcio\.android\avd\Pixel_5_API_32_1.avd\sdcard.img
VERBOSE | Increasing RAM size to 2048MB
VERBOSE | VM heap size 256MB is below hardware specified minimum of 512MB,setting it to that value
VERBOSE | System image is read only
VERBOSE | Found 4 DNS servers:
VERBOSE | 	8.8.8.8
VERBOSE | 	8.8.4.4
VERBOSE | 	fec0:0:0:ffff::1
VERBOSE | 	fec0:0:0:ffff::2
VERBOSE | Unexpected feature list:
VERBOSE | Vulkan
VERBOSE | querying file version info API...
VERBOSE | found kernelbase.dll
VERBOSE | GetFileVersionInfoSizeW found. On Windows 10?
VERBOSE | GetFileVersionInfoW found. On Windows 10?
VERBOSE | VerQueryValueW found. Can query file versions
VERBOSE | queryFileVersionInfo: path not found: amdvlk64.dll
VERBOSE | querying file version info API...
VERBOSE | queryFileVersionInfo: path not found: amdvlk32.dll
VERBOSE | querying file version info API...
VERBOSE | found magic skin width=1080 height=2340 bpp=16

VERBOSE | Requested console port 10258: Inferring adb port 10259.
VERBOSE | Checking whether Windows Hypervisor Platform (WHPX) is available.
VERBOSE | WinHvPlatform.dll found. Looking for WHvGetCapability...
VERBOSE | WHvGetCapability found. Querying WHPX capabilities...
VERBOSE | WHPX (10.0.22000) is installed and usable.
VERBOSE | CPU Acceleration: working
VERBOSE | CPU Acceleration status: Please disable Hyper-V before using the Android Emulator.  Start a command prompt as Administrator, run 'bcdedit /set hypervisorlaunchtype off', reboot.WHPX (10.0.22000) is installed and usable.
VERBOSE | handleCpuAcceleration: feature check for hvf
